Brand & Model,Bike Type,Engine Displacement (CC),Weight (Kerb weight in kg),Seat Height (mm),Target Rider Profile,Image URL,Associated Tag Keywords
VOGE SR4 Max,Maxi Scooter,349.8,213,761,"A premium maxi-scooter offering a blend of comfort, performance, and cutting-edge technology. Ideal for urban commuting and highway cruising, with advanced features like heated grips/seat, electric windshield, and dashcam. Suitable for riders seeking a luxurious and versatile two-wheeled experience.",https://imgd.aeplcdn.com/664x374/n/cw/ec/1/versions/--standard1739253475076.jpg?q=80,"premium, maxi-scooter, urban, commuter, touring, technology, advanced features, comfortable, versatile, heavy, stable, powerful"
VOGE SR1 ADV,Adventure Scooter,124.9,133,775,"An economical, comfortable, and quality urban transportation solution with an adventurous flair. Features dual-channel ABS, TCS, Keyless start, and a dash cam. Perfect for daily commutes and light exploration, offering great maneuverability and modern safety features. Accessible for beginners.",https://files.websitebuilder.prositehosting.co.uk/73/2c/732cd258-5319-4706-b577-57e21973192d.jpg,"economical, comfortable, urban, commuter, adventure scooter, beginner-friendly, maneuverable, safe, technology, light, versatile"
Honda CBR600RR,Sportbike,599,193,820,"An exhilarating sportbike perfect for adventurous, risk-taking, and cool girls who crave high performance and precise control. Ideal for confident riders seeking a dynamic and thrilling experience on both road and track, with a focus on sharp aesthetics and cutting-edge technology.",https://upload.wikimedia.org/wikipedia/commons/6/64/2006HondaCBR600RR-001.jpg,"sportbike, high-performance, adventurous, thrilling, track, road, control, technology, racing, dynamic, aesthetics, tall-friendly"
Yamaha MT-09,Hyper Naked,890,189,825,"A dynamic and aggressive hyper-naked bike, ideal for adventurous, risk-taking, and cool girls who seek an exhilarating ride with strong torque and sharp handling. Its bold styling and engaging performance make it perfect for confident riders who want to stand out and dominate urban streets or winding roads.",https://upload.wikimedia.org/wikipedia/commons/c/c3/Yamaha_MT-09.jpg,"hyper-naked,dynamic,aggressive,urban,thrilling,bold,adventurous,risk-taking,cool,powerful,confident"
Triumph Bonneville Bobber,Cruiser,1200,251,690,"An iconic, minimalist bobber designed for riders of all genders who appreciate bold custom styling, a comfortable low-slung riding position, and exhilarating torque delivery. Ideal for those seeking a distinctive, authentic motorcycle experience with a strong road presence, suitable for cruising and making a statement.","https://c.ndtvimg.com/2024-12/gqpf6ks8_triumph-bonneville-bobber-tfc_625x300_11_December_24.jpg?im=FaceCrop,algorithm=dnn,width=1200,height=738","cruiser, bobber, custom, low-height, comfortable, stylish, powerful, heavy, distinctive, statement"
AIMA Luna,Electric Scooter,N/A,75,N/A,"An ideal electric scooter for riders seeking a calm, innocent, and low-risk daily commute. Perfect for urban environments, offering easy maneuverability, quiet operation, and eco-friendly transportation. Suitable for those prioritizing convenience, comfort, and a relaxed ride without the need for high speeds or aggressive handling.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnCVJrP0LRqoTZeA_bduys9eztMYMBpn2B4w&s,"electric,scooter,urban,commuter,eco-friendly,calm,innocent,easy-to-ride,practical,comfortable,low-risk"
Royal Enfield Classic 350,Cruiser,349,195,805,"An iconic and timeless cruiser, appealing to a wide range of riders including men, women, and beginners, who appreciate classic aesthetics, a comfortable upright riding position, and a distinctive thumping exhaust note. Ideal for relaxed city rides, leisurely highway cruising, and building a strong connection with their motorcycle.","https://imgcdn.oto.com/large/gallery/exterior/100/1536/royal-enfield-classic-350-slant-rear-view-full-image-558019.jpg","classic,retro,cruiser,comfortable,iconic,heritage,beginner-friendly,relaxed,stylish,distinctive,broad-appeal"
Jawa 42,Standard,294.72,182,788,"A stylish modern-classic motorcycle perfect for riders of all genders who appreciate a blend of retro charm and contemporary performance. Its nimble handling makes it ideal for urban commuting and casual rides, offering a comfortable and engaging experience for daily use and weekend leisure.",https://cdn.bikedekho.com/processedimages/jawa-motorcycles/jawa-42/source/jawa-4266bb5c84430c9.jpg,"modern-classic,retro,urban,nimble,stylish,versatile,comfortable,daily-rider,accessible,engaging"
River Indie,Electric Scooter,N/A,143,770,"A robust and practical electric scooter, ideal for a wide range of riders, including men, women, and families, who prioritize utility, ample storage, and comfortable urban commuting. Its unique design, strong build, and generous space make it perfect for daily errands, carrying groceries, or relaxed city rides.",https://static.toiimg.com/thumb/103882675/103882675.jpg?height=746&width=420&resizemode=76&imgsize=81082,"electric,scooter,utility,practical,spacious,urban,comfortable,eco-friendly,versatile,modern,daily-rider"
Evoke Motorcycles 6061-GT,Electric Grand Tourer,N/A,320,740,"An advanced electric grand tourer designed for riders of all genders seeking long-distance electric travel with high performance, cutting-edge technology, and quick charging. Ideal for those who value extensive range, impressive speed, and a sleek, modern electric riding experience for touring or spirited commutes.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcKtmbEDPwZZMPLjja3BXiTw2RMLaiA19gGQ&s,"electric,grand-tourer,long-range,high-performance,fast-charging,modern,touring,tech-advanced,premium,powerful,sustainable,versatile"
