User_Description_Input,Target_Bike_Type_Keywords,Target_Tag_Keywords,Target_Weight_Profile_Keywords,Target_Height_Profile_Keywords,Target_Primary_Use_Keywords,Target_Riding_Style_Keywords
I dream of a stylish and super comfortable ride perfect for gliding through the city. I m a bit more on the relaxed side loving my personal space and not looking for extreme adventures.,"Maxi Scooter,premium,scooter,urban,comfortable,tech-advanced,versatile","Relaxed,Easygoing,Calm & Collected",Moderate-weight,Standard-height,"City streets,Quiet Suburban roads","Leisure,Daily commute,Smooth,Comfortable"
I m a modern individual who appreciates comfort and smart features in everything. My ideal ride is chic keeps me in my zone and handles city life with ease. Color is important!,"Maxi Scooter,premium,scooter,urban,comfortable,tech-advanced,versatile","Tech-Savvy & Modern,Calm & Collected,Social & Outgoing",Moderate-weight,Standard-height,City streets,"Daily commute,Leisure,Smooth,Convenient"
I m a woman who loves to feel pampered and comfortable on the go. My dream two-wheeler is elegant offers a smooth ride and is perfect for casual outings with friends maybe by the beach.,"Maxi Scooter,premium,scooter,urban,comfortable,versatile","Relaxed,Easygoing,Calm & Collected,Social & Outgoing",Moderate-weight,Standard-height,Beach & Coastal roads,"City streets,Leisure,Smooth,Comfortable"
I m not a risk-taker but I enjoy exploring new cafes and boutiques in the city. My ideal ride is stable technologically advanced and keeps me feeling safe and in control.,"Maxi Scooter,premium,scooter,urban,comfortable,tech-advanced","Relaxed,Easygoing,Calm & Collected,Practical & Efficient",Moderate-weight,Standard-height,City streets,"Daily commute,Smooth,Safe"
My dream ride is all about comfort and looking good without being flashy. I m a bit of a lazy person when it comes to effort so an effortless luxurious scooter would be perfect for my urban lifestyle.,"Maxi Scooter,premium,scooter,urban,comfortable,versatile","Relaxed,Easygoing,Lazy Person,Calm & Collected",Moderate-weight,Standard-height,City streets,"Daily commute,Leisure,Smooth,Effortless"
I m an independent person who loves discovering hidden spots in the city but also enjoys the idea of light exploration beyond the usual roads. I need something easy to handle and reliable.,"Adventure Scooter,urban,commuter,economical,nimble,beginner-friendly,tech-features","Independent & Solitary,Adventurous & Risk-Taking,Practical & Efficient","Light,Easy-to-handle",Standard-height,City streets,"Leisure,Daily commute,Smooth,Versatile"
I consider myself a balanced mix of adventurous and practical. My dream ride is comfortable for daily city use but can also handle a little off-road fun. I'm a Sports Person in spirit but like convenience.,"Adventure Scooter,urban,commuter,economical,nimble,beginner-friendly,tech-features","A mix of both Adventurous & Risk-Taking,Practical & Efficient,Energetic & Sporty",Moderate-weight,Standard-height,City streets,"Quiet Suburban roads,Leisure,Daily commute,Balanced,Convenient"
I m a bit new to riding and want a bike that feels safe and modern. I m not looking for extreme adventures but I like the idea of being able to go anywhere. I prefer going alone.,"Adventure Scooter,urban,commuter,economical,nimble,beginner-friendly,tech-features,Light,Beginner-friendly,Easy-to-handle,Accessible","Calm & Collected,Independent & Solitary,Practical & Efficient",Less weight,Less height,City streets,"Quiet Suburban roads,Leisure,Smooth,Safe"
My dream ride is something versatile that can take me to work and then for a fun spin outside the concrete jungle. I m not a lazy person but appreciate comfort and smart tech to make things easier.,"Adventure Scooter,urban,commuter,economical,nimble,beginner-friendly,tech-features","Energetic & Sporty,Tech-Savvy & Modern,Practical & Efficient",Moderate-weight,Standard-height,City streets,"Quiet Suburban roads,Leisure,Daily commute,Versatile,Comfortable"
I m someone who values efficiency and quality but also wants a touch of adventure in my life. My ideal two-wheeler is maneuverable for the city but gives me the confidence for new routes.,"Adventure Scooter,urban,commuter,economical,nimble,beginner-friendly,tech-features","Practical & Efficient,Adventurous & Risk-Taking,Calm & Collected",Moderate-weight,Standard-height,City streets,"Quiet Suburban roads,Daily commute,Smooth,Maneuverable"
